"Date","Price","Open","High","Low","Vol.","Change %"
"11-06-2024","890.19","891.06","895.97","888.06","2.24M","0.44%"
"10-06-2024","886.29","893.32","905.38","884.11","1.53M","-0.79%"
"07-06-2024","893.32","899.77","902.07","883.56","1.81M","-0.72%"
"06-06-2024","899.77","899.72","911.71","893.72","2.55M","1.45%"
"05-06-2024","886.94","854.42","891.89","816.87","3.24M","4.13%"
"04-06-2024","851.75","899.38","899.72","807.78","5.35M","-5.57%"
"03-06-2024","902.02","932.36","939.36","899.38","3.46M","0.52%"
"31-05-2024","897.34","856.90","901.05","835.89","3.79M","5.44%"
"30-05-2024","851.02","879.40","888.06","844.86","2.91M","-3.12%"
"29-05-2024","878.47","896.05","898.70","875.18","1.58M","-2.42%"
"28-05-2024","900.23","902.72","908.05","893.41","1.44M","-0.04%"
"27-05-2024","900.55","911.69","913.97","883.40","2.01M","-0.97%"
"24-05-2024","909.41","876.07","919.37","871.72","4.13M","4.44%"
"23-05-2024","870.72","884.89","894.04","868.41","2.83M","-1.58%"
"22-05-2024","884.68","911.04","917.71","883.38","3.30M","-2.58%"
"21-05-2024","908.15","930.70","930.70","906.05","2.61M","-2.43%"
"18-05-2024","930.78","930.80","939.32","928.70","335.16K","0.40%"
"17-05-2024","927.03","939.36","947.95","917.72","1.70M","-1.25%"
"16-05-2024","938.81","960.68","960.81","929.03","2.03M","-0.79%"
"15-05-2024","946.32","905.15","955.68","904.30","4.48M","5.90%"
"14-05-2024","893.61","869.40","902.70","866.12","2.21M","3.27%"
"13-05-2024","865.29","891.36","891.36","855.73","2.19M","-1.98%"
"10-05-2024","882.73","903.55","915.76","879.41","2.55M","-2.22%"
"09-05-2024","902.77","929.70","961.01","899.38","3.47M","-3.87%"
"08-05-2024","939.16","924.37","942.69","922.85","1.66M","0.43%"
"07-05-2024","935.18","951.02","951.02","912.04","3.08M","-1.33%"
"06-05-2024","947.75","957.68","957.68","924.37","2.32M","-0.19%"
"03-05-2024","949.60","961.91","964.14","937.14","2.83M","-0.28%"
"02-05-2024","952.26","956.68","966.01","942.69","6.13M","2.46%"
"30-04-2024","929.41","940.96","961.01","925.37","7.26M","0.68%"
"29-04-2024","923.12","908.86","964.32","870.10","33.74M","-13.68%"
"26-04-2024","1,069.38","1,036.29","1,075.86","1,036.29","2.63M","1.99%"
"25-04-2024","1,048.47","1,044.62","1,073.60","1,042.60","3.70M","0.56%"
"24-04-2024","1,042.60","1,079.54","1,087.49","1,022.63","6.38M","-2.19%"
"23-04-2024","1,065.89","956.78","1,081.73","956.01","12.19M","12.22%"
"22-04-2024","949.78","931.43","956.01","931.43","1.67M","2.99%"
"19-04-2024","922.22","913.37","932.69","900.47","1.84M","-0.45%"
"18-04-2024","926.40","952.25","964.51","914.37","2.19M","-1.93%"
"16-04-2024","944.60","927.70","950.70","927.13","2.03M","1.85%"
"15-04-2024","927.45","914.94","955.63","907.71","2.97M","-1.58%"
"12-04-2024","942.34","952.85","984.29","937.72","3.54M","-1.21%"
"10-04-2024","953.85","914.57","966.01","897.95","3.87M","4.29%"
"09-04-2024","914.61","933.36","936.96","910.38","1.59M","-2.00%"
"08-04-2024","933.26","961.97","966.90","922.72","2.37M","-2.57%"
"05-04-2024","957.88","956.01","977.66","949.35","2.66M","-0.50%"
"04-04-2024","962.74","960.68","978.00","924.87","4.81M","1.01%"
"03-04-2024","953.08","912.71","959.34","907.71","4.65M","3.80%"
"02-04-2024","918.15","905.56","925.07","889.72","5.56M","1.71%"
"01-04-2024","902.68","851.88","907.38","842.76","9.28M","7.71%"
"28-03-2024","838.06","828.83","856.08","804.70","5.04M","2.12%"
"27-03-2024","820.64","776.80","824.57","771.81","6.94M","6.64%"
"26-03-2024","769.54","740.83","774.47","737.83","3.70M","5.11%"
"22-03-2024","732.10","749.15","757.78","729.50","1.89M","-2.02%"
"21-03-2024","747.19","694.86","755.22","691.21","6.04M","10.33%"
"20-03-2024","677.25","656.22","679.53","656.22","2.79M","3.91%"
"19-03-2024","651.77","679.53","681.53","646.57","2.11M","-3.87%"
"18-03-2024","678.04","691.86","691.86","669.54","2.17M","-2.25%"
"15-03-2024","693.66","684.48","697.69","674.89","1.43M","1.66%"
"14-03-2024","682.35","670.21","698.84","657.42","2.40M","1.83%"
"13-03-2024","670.11","746.16","756.15","657.03","4.97M","-6.37%"
